,Year,Period,WA,NT,VIC,NSW,SA,QLD,ENSO,SAM,IOD
102,2015,JUN,119.32000000000002,,67.48758302325581,135.11608695652174,71.87333333333333,139.67984126984123,1.2,1.6066666666666671,0.2536666666666666
101,2015,JUL,68.49,,62.983324153846155,174.2417910447761,93.30714285714284,194.42940170940173,1.5,2.0900000000000003,0.3626666666666667
97,2015,AUG,98.183125,,109.90879215277776,208.30042424242424,128.26333333333335,244.092,1.9,1.9233333333333336,0.3619999999999999
107,2015,SEP,283.66139130434783,,141.06209039548023,317.22548,154.22375,346.24819999999994,2.2,1.0366666666666668,0.4479999999999999
106,2015,OCT,326.8508219178082,806.53,232.36668864864865,582.5526425600001,367.128076923077,335.45779999999996,2.4,0.9033333333333337,0.3746666666666666
105,2015,NOV,438.1954787234043,806.53,488.8229165517242,751.2005676,518.76075,316.93274285714284,2.6,0.5066666666666669,0.3673333333333333
98,2015,DEC,584.8932631578947,806.53,635.0800888,835.14729092,538.358085106383,606.9805555555556,2.6,1.7700000000000002,0.295
112,2016,JAN,575.6232692307692,,649.8238488000001,835.11061092,546.0360000000001,542.737894736842,2.5,1.7333333333333336,0.1426666666666667
111,2016,FEB,372.1477528089888,,561.82102064,757.9083454400001,380.6684375,331.9896527777778,2.1,2.9466666666666668,0.049
115,2016,MAR,346.1970588235294,,419.83630204,580.1185756,302.9332,299.09637096774196,1.6,2.2566666666666673,0.009
108,2016,APR,226.08555555555557,,202.9345355191257,399.86773948,199.6975,318.73412,0.9,1.5000000000000002,0.008
116,2016,MAY,135.15714285714287,,107.84161616161616,208.9352419354839,175.05,253.87679144385024,0.4,1.2666666666666668,-0.1366666666666667
114,2016,JUN,100.512,,67.91722222222222,130.75444444444443,,189.07230088495575,-0.1,1.1833333333333331,-0.438
113,2016,JUL,54.18076923076923,,66.63217391304347,131.4305,82.24,169.28061855670103,-0.4,1.0633333333333337,-0.5483333333333333
109,2016,AUG,74.47125,,69.02905633802817,122.40123076923076,27.41333333333333,169.68833333333333,-0.5,0.6633333333333332,-0.5463333333333333
119,2016,SEP,161.08963414634144,,108.16853703703704,186.555362962963,38.3725,302.18356,-0.6,0.0966666666666665,-0.4176666666666667
118,2016,OCT,301.27209459459465,,158.6079936708861,470.02019748,349.5877272727273,352.05036,-0.7,-0.5166666666666667,-0.397
117,2016,NOV,360.61827411167513,,258.5077018604651,630.1688054,365.36112244897953,392.54616,-0.7,-1.843333333333333,-0.3546666666666667
110,2016,DEC,448.4703164556962,,534.04993048,761.2260460000001,381.07663461538465,453.4037623762375,-0.6,-1.92,-0.2593333333333333
124,2017,JAN,455.5260784313726,,590.48951536,767.536686,446.992,403.47363636363633,-0.3,-1.2433333333333334,-0.0983333333333333
123,2017,FEB,370.7536363636363,,608.79415536,722.212486,404.2950909090909,324.1844897959184,-0.2,-1.2566666666666668,0.124
127,2017,MAR,252.66484375,,493.28676,484.5938,370.8094117647059,285.05631578947373,0.1,-0.3333333333333334,0.319
120,2017,APR,187.65490566037744,,280.14189503999995,336.84557440000003,355.74195121951226,249.44631250000003,0.2,0.6366666666666666,0.4639999999999999
128,2017,MAY,151.83241379310343,,80.70020307692307,270.13805440000004,179.32000000000002,218.0727210884354,0.3,1.8166666666666664,0.4863333333333333
126,2017,JUN,124.489,,61.26688888888889,160.45123447297297,144.4,163.582,0.3,1.32,0.4933333333333333
125,2017,JUL,,,49.10424934782609,147.87316380208335,,150.07658536585365,0.1,0.8166666666666668,0.431
121,2017,AUG,170.672,,90.881155625,157.0370417701863,78.855,193.8658426966292,-0.1,0.2966666666666666,0.301
131,2017,SEP,194.8930188679245,,88.24633780952382,198.76956,111.66571428571427,274.75236,-0.4,0.0299999999999999,0.133
130,2017,OCT,318.7581578947368,,277.4584090909091,538.87160476,384.8098412698413,326.30111999999997,-0.7,0.9866666666666668,0.113
129,2017,NOV,394.9194936708861,,400.02459915611814,704.7113964,402.2691176470588,315.3939814814815,-0.8,1.3266666666666669,0.138
122,2017,DEC,471.0748739495799,,557.50228,788.9618399999998,458.16288461538454,454.7473858529412,-1.0,2.4466666666666668,0.066
136,2018,JAN,479.3200000000001,,605.547,791.5716400000001,474.894,407.8370538260869,-0.9,1.7266666666666668,0.0413333333333333
135,2018,FEB,295.60632075471693,,570.0458000000001,728.6018908,454.43454545454546,232.54496412987012,-0.9,1.236666666666667,-0.0349999999999999
139,2018,MAR,272.5599099099099,,474.78612,521.7330094,372.5004761904762,230.8414285714286,-0.7,-0.2233333333333331,0.004
132,2018,APR,210.46129870129872,,171.7585882352941,339.23356007999996,160.07083333333335,214.20980487804871,-0.5,-0.5599999999999998,-0.0269999999999999
140,2018,MAY,135.136875,,78.92642857142857,236.02432548,134.23999999999998,208.3298421052631,-0.2,-1.0733333333333333,0.0646666666666666
138,2018,JUN,47.59,,51.51297297297298,145.93950693181816,,175.76028368794329,0.0,-0.3366666666666665,0.11
137,2018,JUL,52.08200000000001,,75.58918367346939,141.8217537894737,23.49,188.72265624999997,0.1,-0.5999999999999999,0.11
133,2018,AUG,89.96384615384615,238.18,128.52823529411765,197.29481656410255,89.105,248.26971783505152,0.2,0.5333333333333335,0.2596666666666667
143,2018,SEP,161.61644444444445,281.88000000000005,159.3015950920245,292.16601048000007,120.27384615384616,293.40438104000003,0.5,1.2700000000000002,0.4703333333333333
142,2018,OCT,258.6194696969697,281.88000000000005,289.89229166666667,577.9804029600001,295.43863636363636,328.40476166,0.8,2.476666666666667,0.5963333333333334
141,2018,NOV,353.4261081081081,369.28,473.52951999999993,740.8933544,405.5352459016393,322.6763975139665,0.9,2.346666666666667,0.498
134,2018,DEC,502.6379020979021,,599.2161600000001,847.69662824,456.99016666666665,492.3996291791044,0.8,2.356666666666667,0.3986666666666666
148,2019,JAN,488.056,,611.00764,836.6027586399999,527.8664102564102,458.6684301666667,0.7,0.786666666666667,0.3706666666666667
147,2019,FEB,354.50568047337276,,565.7522799999999,758.8046750799999,464.83956521739134,335.0809877319587,0.7,0.7966666666666669,0.3423333333333334
151,2019,MAR,266.88162650602413,,449.39396,501.55340872,382.9615789473684,275.37119877419354,0.7,0.1533333333333335,0.2993333333333333
144,2019,APR,212.93422764227645,,204.0054377880184,362.02568871999995,331.2075,224.83475862068968,0.7,0.7400000000000003,0.3403333333333333
152,2019,MAY,132.96333333333334,,94.28000000000002,248.41190572,126.17666666666666,205.5083193277311,0.5,0.9866666666666668,0.4673333333333334
150,2019,JUN,163.13,173.5,52.64479166666666,130.45235294117649,94.025,173.66208333333336,0.5,-0.033333333333333,0.5803333333333334
149,2019,JUL,156.63666666666666,137.575,63.88945454545455,141.06333333333333,94.025,231.78333333333333,0.3,-0.6766666666666664,0.5459999999999999
145,2019,AUG,172.07523809523812,135.56272727272727,73.80101265822783,205.15547487288137,127.5,283.61513768000003,0.1,-1.143333333333333,0.642
155,2019,SEP,251.5253260869565,131.769,175.77163661157027,363.822635,241.76833333333337,399.4543808,0.2,-1.0666666666666664,0.7643333333333334
154,2019,OCT,308.5020714285714,185.14545454545453,319.00802126760567,490.17524448,325.35977272727274,421.1851808,0.3,-1.8599999999999997,0.8973333333333334
153,2019,NOV,392.0626457399103,410.28,424.59163972,584.2004706,354.913275862069,442.63622192,0.5,-2.7233333333333327,0.6806666666666666
146,2019,DEC,442.5411715481171,410.28,483.79277036,697.73764,363.1156140350878,428.23920213235294,0.5,-1.8766666666666665,0.417
160,2020,JAN,431.89165938864625,,516.50464,703.06352,377.3662162162162,433.6308954945056,0.5,-0.5233333333333331,0.1566666666666666
159,2020,FEB,367.50893081761006,24.155,467.12200744000006,658.0963200000001,337.6023076923077,290.6727527142857,0.5,0.7533333333333335,0.082
163,2020,MAR,275.42605263157895,24.155,400.99442784,428.7690034,316.6475,272.5855644615385,0.4,-0.0099999999999997,0.0206666666666666
156,2020,APR,196.30564102564105,24.155,216.96766666666667,230.368219895288,211.32625,196.2760382432432,0.2,0.4533333333333336,0.102
164,2020,MAY,92.73,,77.99758620689653,117.47259259259262,131.942,188.69936209302327,-0.1,0.1633333333333336,0.247
162,2020,JUN,80.606,,79.30034482758619,119.297311827957,137.9825,176.91310785714285,-0.3,0.4133333333333336,0.3573333333333333
161,2020,JUL,166.05714285714285,41.79333333333333,90.77666666666666,124.19602040816324,165.33999999999995,215.3159105479452,-0.4,-0.6633333333333331,0.1969999999999999
157,2020,AUG,189.6157142857143,40.235,138.21068965517244,215.54902777777775,5.8420000000000005,269.5398118781726,-0.6,-1.1399999999999997,-0.0176666666666666
167,2020,SEP,301.27777777777777,70.51,148.4745098039215,319.18556440000003,144.57909090909092,345.2284399999999,-0.9,-0.2199999999999997,-0.0996666666666666
166,2020,OCT,361.39636,161.89222222222224,217.7321875,486.89793968,284.18208784999996,372.89288,-1.2,0.8933333333333335,-0.032
165,2020,NOV,445.97876,315.1325,326.77230963133644,532.1704268,290.95124981333333,360.2539655172414,-1.3,1.736666666666667,0.0413333333333333
158,2020,DEC,460.47044,422.20200000000006,533.2421999999999,641.8152772,341.31352287540983,406.84946666666673,-1.2,1.7900000000000005,0.0336666666666666
172,2021,JAN,446.30908,417.458,556.61236,624.5632068,344.21388858196724,386.1692913385827,-1.0,2.14,0.1079999999999999
171,2021,FEB,382.06916,417.458,514.28828,590.9834468,356.6609376701031,353.3512280701755,-0.9,1.0633333333333337,0.1866666666666666
175,2021,MAR,304.851262504,319.75666666666666,322.53904,401.39804588,255.6539621132076,280.41622641509434,-0.8,0.7033333333333336,0.2529999999999999
168,2021,APR,240.90144862,91.43,195.61324,191.64634804,186.53772965853656,238.40478260869563,-0.7,0.2233333333333335,0.1749999999999999
176,2021,MAY,114.2982374590164,91.43,124.98872611464968,153.45675977653627,190.81812799999997,227.28077777777773,-0.5,1.1666666666666667,0.0856666666666666
174,2021,JUN,73.22094949999999,77.18,80.96853658536585,121.59062500000002,171.11,216.97547945205477,-0.4,0.5233333333333335,-0.0736666666666666
173,2021,JUL,24.379313142857143,128.015,72.44529411764707,145.92833333333334,151.4944444444444,203.1293203883495,-0.4,0.5166666666666668,-0.1096666666666666
169,2021,AUG,138.12507647058823,92.87666666666668,106.88703703703706,219.1266666666667,128.66257329411766,262.81759999999997,-0.5,0.4500000000000002,-0.1283333333333333
179,2021,SEP,275.22575586734695,93.84,186.9111666666667,231.22720183486243,182.8410759305556,386.1256,-0.7,1.0700000000000005,-0.0826666666666666
178,2021,OCT,421.16704,59.665000000000006,284.59964,300.17504,238.5024176370968,390.31854148,-0.8,1.7233333333333334,-0.0266666666666666
177,2021,NOV,496.1366,400.04428571428576,542.52176,502.29917576,343.6784227065217,333.75610555555556,-1.0,2.0766666666666667,-0.0473333333333333
170,2021,DEC,525.31696,497.2541666666668,630.02136,597.29161576,326.0614883571429,270.0274702734375,-1.0,2.54,-0.0356666666666666
184,2022,JAN,514.81996,381.80947368421056,647.18776,621.2341200000001,353.48122540697676,258.739810037594,-1.0,2.2833333333333337,-0.0863333333333333
183,2022,FEB,458.3947199999999,342.6678947368422,560.7538800000001,553.97436,310.02317761616166,225.84534987603303,-0.9,1.7966666666666669,-0.0773333333333333
187,2022,MAR,320.042271013825,239.6833794736842,467.5050758,448.1589448,301.2177496075949,202.2164136639344,-1.0,1.8966666666666672,-0.0813333333333333
180,2022,APR,228.85869236781608,272.22118416666666,233.7776994882629,350.12117856000003,207.77465890697673,166.85251144210525,-1.1,1.3400000000000003,-0.0943333333333333
188,2022,MAY,204.43935772972972,217.794035,124.86371724675328,220.083971664,165.07310457575758,141.83770683333333,-1.0,0.1333333333333336,-0.175
186,2022,JUN,109.2355832,,71.74893720000001,140.7223861388889,143.4713182857143,149.93260974747474,-0.9,-0.2833333333333331,-0.2173333333333333
185,2022,JUL,47.95273,,87.4462888611111,141.27774701052633,112.10503685714286,179.95385992753623,-0.8,-0.1466666666666664,-0.2586666666666667
181,2022,AUG,121.70627875,,105.46441275789472,154.43661714084507,141.224628,210.18517030534352,-0.9,1.3833333333333335,-0.2543333333333333
191,2022,SEP,182.0872273923077,,127.66386539805823,184.857216228,194.41214217391305,220.322958885,-1.0,1.54,-0.4196666666666666
190,2022,OCT,256.3808354979592,,185.5056289855073,297.0325366,243.38548568604656,246.9627585882353,-1.0,2.556666666666666,-0.4273333333333333
189,2022,NOV,423.86226356,133.638465,395.97774524,540.5183574,288.07507983152175,297.62919999999997,-0.9,2.786666666666666,-0.3506666666666667
182,2022,DEC,455.7766634400001,133.638465,547.216675,657.97058852,383.9382006,326.73183792,-0.8,3.736666666666667,-0.084
196,2023,JAN,435.69632960000007,133.638465,561.3422499599999,683.6153737600001,378.41015736,346.2515082,-0.7,2.65,0.0579999999999999
195,2023,FEB,318.93534592,,528.4176818,636.1670166800001,323.88250066521744,314.73865612,-0.4,1.7199999999999998,0.2269999999999999
199,2023,MAR,182.9629238216216,,380.54144312000005,526.53629268,207.34198535,267.9812515350877,-0.1,-0.0599999999999997,0.3773333333333333
192,2023,APR,160.04170831168832,,193.866097776,440.6890204,117.47153913636366,208.17792545566505,0.2,0.3900000000000003,0.4726666666666666
200,2023,MAY,75.19581956249999,44.82,111.8128087606383,234.357594524,101.63116855555556,200.8838963626126,0.5,-0.053333333333333,0.5559999999999999
198,2023,JUN,65.78628185714287,51.929999999999986,63.60412891428571,112.02969811858974,100.0310694,186.68341863,0.8,0.0533333333333336,0.5353333333333333
197,2023,JUL,50.61712154545455,51.61181818181819,59.276384745614024,132.8440090592783,63.216397,229.508263216,1.1,-0.0666666666666663,0.6626666666666666
193,2023,AUG,73.85412816818182,57.16305549999999,101.04055505460124,246.334382112,139.040336,292.197191744,1.3,-0.0799999999999997,0.7563333333333332
203,2023,SEP,250.34993883740455,114.14131160000002,132.1231363576744,362.43179776,159.0781530909091,442.38403044,1.6,0.6333333333333336,0.8583333333333333
202,2023,OCT,283.8860939268,162.58385266666664,271.51570882000004,465.14796276,231.96060971717168,439.60218952,1.8,0.3266666666666669,0.89
201,2023,NOV,352.59427232,257.06281,387.07494084000007,586.70009184,210.2336158873239,421.98534528,1.9,1.4933333333333334,0.8583333333333333
194,2023,DEC,375.600599,281.54879999999997,466.06161564,633.45405256,229.09131940579712,200.29963648611113,2.0,1.88,0.8453333333333332
