Year,Period,ENSO,SAM,IOD,Date
2020,SEP,-0.9,-0.21999999999999975,-0.09966666666666667,2020-09-01
2020,OCT,-1.2,0.8933333333333335,-0.032,2020-10-01
2020,NOV,-1.3,1.736666666666667,0.04133333333333333,2020-11-01
2020,DEC,-1.2,1.7900000000000003,0.033666666666666664,2020-12-01
2021,JAN,-1.0,2.14,0.10799999999999998,2021-01-01
2021,FEB,-0.9,1.0633333333333335,0.18666666666666668,2021-02-01
2021,MAR,-0.8,0.7033333333333336,0.25299999999999995,2021-03-01
2021,APR,-0.7,0.22333333333333358,0.17499999999999996,2021-04-01
2021,MAY,-0.5,1.1666666666666667,0.08566666666666665,2021-05-01
2021,JUN,-0.4,0.5233333333333335,-0.07366666666666669,2021-06-01
2021,JUL,-0.4,0.5166666666666668,-0.10966666666666669,2021-07-01
2021,AUG,-0.5,0.4500000000000002,-0.12833333333333335,2021-08-01
2021,SEP,-0.7,1.0700000000000003,-0.08266666666666668,2021-09-01
2021,OCT,-0.8,1.7233333333333334,-0.026666666666666682,2021-10-01
2021,NOV,-1.0,2.0766666666666667,-0.047333333333333345,2021-11-01
2021,DEC,-1.0,2.54,-0.03566666666666668,2021-12-01
2022,JAN,-1.0,2.2833333333333337,-0.08633333333333336,2022-01-01
2022,FEB,-0.9,1.7966666666666669,-0.07733333333333335,2022-02-01
2022,MAR,-1.0,1.8966666666666672,-0.08133333333333335,2022-03-01
2022,APR,-1.1,1.3400000000000005,-0.09433333333333334,2022-04-01
2022,MAY,-1.0,0.1333333333333336,-0.17500000000000004,2022-05-01
2022,JUN,-0.9,-0.28333333333333316,-0.21733333333333338,2022-06-01
2022,JUL,-0.8,-0.14666666666666647,-0.2586666666666667,2022-07-01
2022,AUG,-0.9,1.3833333333333335,-0.25433333333333336,2022-08-01
2022,SEP,-1.0,1.54,-0.41966666666666663,2022-09-01
2022,OCT,-1.0,2.5566666666666666,-0.42733333333333334,2022-10-01
2022,NOV,-0.9,2.7866666666666666,-0.3506666666666667,2022-11-01
2022,DEC,-0.8,3.736666666666667,-0.08400000000000003,2022-12-01
2023,JAN,-0.7,2.65,0.05799999999999996,2023-01-01
2023,FEB,-0.4,1.7199999999999998,0.22699999999999995,2023-02-01
2023,MAR,-0.1,-0.05999999999999972,0.3773333333333333,2023-03-01
2023,APR,0.2,0.3900000000000003,0.4726666666666666,2023-04-01
2023,MAY,0.5,-0.05333333333333301,0.5559999999999999,2023-05-01
2023,JUN,0.8,0.053333333333333656,0.5353333333333333,2023-06-01
2023,JUL,1.1,-0.06666666666666636,0.6626666666666666,2023-07-01
2023,AUG,1.3,-0.0799999999999997,0.7563333333333332,2023-08-01
2023,SEP,1.6,0.6333333333333336,0.8583333333333333,2023-09-01
2023,OCT,1.8,0.32666666666666694,0.89,2023-10-01
2023,NOV,1.9,1.4933333333333334,0.8583333333333333,2023-11-01
2023,DEC,2.0,1.8800000000000001,0.8453333333333332,2023-12-01
2024,JAN,,2.6200000000000006,,2024-01-01
2024,FEB,,2.2100000000000004,,2024-02-01
2024,MAR,,1.756666666666667,,2024-03-01
2024,APR,,1.4100000000000001,,2024-04-01
2024,MAY,,1.5500000000000005,,2024-05-01
2024,JUN,,1.2433333333333334,,2024-06-01
2024,JUL,,-0.8033333333333332,,2024-07-01
2024,AUG,,-1.0733333333333333,,2024-08-01
